actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
-5.077416,-2.059409,-1.424854,0.570693,1.967354,6.199388,0.295830,0.552611,0.443021,-1.355410,-0.148975,-0.115916
-5.077476,-2.059446,-1.424842,0.570693,1.967378,6.199376,0.295866,0.552606,0.443003,-1.355438,-0.148957,-0.115953
-5.077476,-2.059386,-1.424866,0.570681,1.967366,6.199400,0.295859,0.552587,0.443030,-1.355416,-0.148936,-0.115949
-5.077452,-2.059422,-1.424866,0.570693,1.967342,6.199388,0.295852,0.552604,0.443008,-1.355437,-0.148935,-0.115948
-5.077440,-2.059422,-1.424842,0.570693,1.967366,6.199400,0.295844,0.552608,0.443018,-1.355414,-0.148961,-0.115918
-5.077464,-2.059422,-1.424902,0.570669,1.967378,6.199388,0.295857,0.552602,0.442991,-1.355494,-0.148943,-0.115916
-5.077440,-2.059386,-1.424854,0.570717,1.967390,6.199424,0.295836,0.552594,0.443037,-1.355369,-0.148976,-0.115896
-5.077476,-2.059398,-1.424866,0.570717,1.967366,6.199448,0.295860,0.552587,0.443024,-1.355397,-0.148909,-0.115916
-5.077452,-2.059422,-1.424854,0.570705,1.967342,6.199412,0.295852,0.552604,0.443014,-1.355416,-0.148924,-0.115935
-5.077452,-2.059398,-1.424854,0.570717,1.967390,6.199412,0.295844,0.552594,0.443029,-1.355381,-0.148973,-0.115913
-5.077440,-2.059422,-1.424854,0.570681,1.967390,6.199412,0.295842,0.552609,0.443012,-1.355437,-0.148967,-0.115885
-5.077428,-2.059409,-1.424854,0.570693,1.967366,6.199376,0.295835,0.552608,0.443021,-1.355411,-0.148985,-0.115928
-5.077464,-2.059398,-1.424878,0.570669,1.967330,6.199388,0.295858,0.552595,0.443017,-1.355449,-0.148914,-0.115963
-5.077440,-2.059398,-1.424830,0.570657,1.967366,6.199400,0.295842,0.552604,0.443036,-1.355413,-0.148960,-0.115919
-5.077464,-2.059409,-1.424890,0.570693,1.967366,6.199376,0.295855,0.552596,0.443006,-1.355448,-0.148952,-0.115948
-5.077428,-2.059434,-1.424842,0.570693,1.967390,6.199400,0.295837,0.552616,0.443011,-1.355424,-0.148986,-0.115888
